siren,year,company,totalassets,marketable_sec,cash,totaldebt,inventory,creditors,tradedebts,taxes,otherdebts,netincome,netsales
524240785,2015,AGR MENUISERIES,320.0,0.0,40.0,171.0,21.0,27.0,44.0,19.0,0.0,2.0,555.0
524240785,2016,AGR MENUISERIES,284.0,0.0,22.0,113.0,17.0,24.0,42.0,15.0,3.0,23.0,611.0
524240785,2017,AGR MENUISERIES,331.0,0.0,66.0,133.0,6.0,22.0,51.0,17.0,0.0,26.0,662.0
524245503,2014,COMPAIN,204.0,0.0,55.0,103.0,5.0,28.0,174.0,71.0,0.0,21.0,403.0
524245503,2015,COMPAIN,229.0,0.0,77.0,101.0,3.0,38.0,162.0,57.0,0.0,39.0,423.0
524245503,2016,COMPAIN,286.0,0.0,83.0,110.0,0.0,39.0,174.0,61.0,6.0,47.0,580.0
524245503,2017,COMPAIN,354.0,0.0,84.0,160.0,0.0,55.0,212.0,39.0,65.0,22.0,511.0
524245503,2018,COMPAIN,387.0,0.0,95.0,169.0,0.0,60.0,258.0,66.0,3.0,28.0,728.0
524248317,2014,GENERATION TREX,78.0,0.0,10.0,34.0,1.0,5.0,44.0,8.0,0.0,18.0,220.0
524248317,2016,GENERATION TREX,95.0,0.0,9.0,43.0,3.0,9.0,63.0,17.0,0.0,8.0,311.0
524248317,2017,GENERATION TREX,109.0,0.0,23.0,56.0,18.0,16.0,35.0,7.0,0.0,1.0,251.0
524277282,2015,GESTION DEVELOPPEMENT ET ORGANISATION PATRIMONIALE,779.0,0.0,45.0,528.0,0.0,7.0,12.0,3.0,40.0,16.0,19.0
524277282,2018,GESTION DEVELOPPEMENT ET ORGANISATION PATRIMONIALE,870.0,0.0,281.0,383.0,0.0,7.0,6.0,3.0,47.0,36.0,20.0
524296258,2014,MALAGA,200.0,0.0,4.0,198.0,80.0,125.0,56.0,10.0,18.0,-18.0,278.0
524296266,2014,TOVA,121.0,0.0,51.0,140.0,6.0,36.0,9.0,3.0,6.0,21.0,137.0
524296266,2015,TOVA,92.0,0.0,31.0,90.0,7.0,7.0,3.0,3.0,0.0,22.0,142.0
524296266,2016,TOVA,128.0,0.0,10.0,115.0,17.0,5.0,3.0,1.0,0.0,11.0,118.0
524296266,2017,TOVA,128.0,0.0,10.0,112.0,26.0,8.0,3.0,1.0,0.0,1.0,114.0
